193,124TH AVE NE,N OF NE 85TH ST,11262,10654,12433,12743,13089,12677,12047,13359,13478,13509,12852
194,124TH AVE NE,S OF NE 85TH ST,5918,5907,6318,5355,6335,5314,4449,5333,5634,4841,4672
195,124TH AVE NE,S OF NE 100TH ST,14321,12529,14615,14511,14660,13471,12858,13498,14957,14943,15304
196,124TH AVE NE,N OF NE 100TH ST,14778,12723,13485,14763,14889,13616,12906,13210,14091,14868,16390
197,124TH AVE NE,S OF NE 120TH ST,12626,11979,13855,12903,14252,15365,14623,14913,17998,16817,18748
198,124TH AVE NE,S OF NE 116TH ST,17972,16658,19563,18386,17789,17754,16220,16065,16373,17405,17857
199,124TH AVE NE,S OF NE 124TH ST,19935,19044,20105,18512,20486,16400,15261,14898,15949,16574,19949
200,124TH AVE NE,N OF NE 132ND ST,12874,13028,14128,13290,14024,13805,12995,15485,13504,13350,13490
201,124TH AVE NE,S OF NE 132ND ST,6325,6571,6238,6133,5416,5265,5271,5436,5450,4861,5029
202,124TH AVE NE,N OF NE 144TH ST,11350,12579,14119,13467,13788,12903,12834,,,,
203,124TH AVE NE,S OF NE 144TH ST,13194,13648,15119,14500,14500,13739,13363,,,,
204,NE 124TH ST,E OF 100TH AVE NE,18887,18445,21400,21708,24117,26889,21671,20788,23778,21485,20436
205,NE 124TH ST,W OF 100TH AVE NE,2938,2662,3490,3259,3337,3231,3409,3156,3276,3562,4105
206,NE 124TH ST,E OF 103RD AVE NE,,19379,,,,,,,,,
207,NE 124TH ST,W OF 103RD AVE NE,,18745,,,,,,,,,
208,NE 124TH ST,E OF 111TH AVE NE,,21732,,,,,,,,,
209,NE 124TH ST,W OF 111TH AVE NE,,,,,,,,,,,
210,NE 124TH ST,W OF 113TH AVE NE,20793,19243,22082,23245,24406,24689,23465,22324,22701,25010,23572
211,NE 124TH ST,E OF 116TH AVE NE,35528,35152,37507,36875,39499,37366,37511,38942,37668,41375,38937
212,NE 124TH ST,W OF 116TH AVE NE,25706,23180,26219,28217,28597,28771,27272,26978,26033,27774,27648
213,NE 124TH ST,W OF 120TH PL,34859,33169,35344,35200,35467,34072,31525,32616,31144,35959,34034
214,NE 124TH ST,E OF 124TH AVE NE,30262,29478,34244,32037,32780,33618,31671,31352,29822,31576,31395
215,NE 124TH ST,W OF 124TH AVE NE,37430,35263,38763,34809,35819,35856,31619,32402,32655,36151,33897
216,NE 124TH ST,E OF SLATER AVE NE,33600,31191,34244,34759,35849,35397,39691,32246,31120,30449,
217,NE 124TH ST,W OF SLATER AVE NE,28198,23345,26555,29685,29823,30950,28388,28909,27644,28145,27691
218,NE 124TH ST,W OF WILLOWS ROAD,31806,30171,,,,,,,,,
219,126TH AVE NE,N OF NE 85TH ST,891,727,950,895,924,968,537,759,,,
220,126TH AVE NE,S OF NE 85TH ST,1207,966,1244,1057,1084,1070,987,1300,,,
221,128TH AVE NE,N OF NE 85TH ST,1329,1298,2137,1760,2499,1552,1450,1895,1903,1627,1399
222,128TH AVE NE,S OF NE 85TH ST,1322,1341,1778,1587,2117,1579,1476,1754,1727,1923,1518
223,NE 128TH ST,E OF TOTEM LAKE BLVD,,,11511,14203,11150,10641,10499,10125,,,
224,NE 128TH ST,W OF TOTEM LAKE BLVD,17713,20004,16607,15743,16071,14898,13809,10667,,,
225,NE 128TH ST,E OF 116TH AVE NE,15409,17507,16316,15890,14050,12844,12907,13771,,,
226,NE 128TH ST,W OF 116TH AVE NE,3069,3134,3410,2989,2832,2709,2524,2668,2392,2362,2769
227,NE 128TH ST,E OF 120TH AVE NE,8061,6722,6713,6289,6310,6164,6248,6351,4972,4578,4686
228,NE 128TH ST,W OF 120TH AVE NE,12362,12867,10758,13354,10751,10912,10533,9935,7766,2383,2857
229,NE 130TH LN,W OF 124TH AVE NE,2502,2806,2780,2618,2595,2406,2683,2948,3487,2980,2827
230,132ND AVE NE,N OF NE 40TH ST,,,,5071,5293,4722,4323,4383,5055,5519,4830
231,132ND AVE NE,N OF NE 60TH ST,5297,4777,6462,6046,6850,5610,5533,5778,5895,6089,6346
232,132ND AVE NE,S OF NE 60TH ST,4148,3653,5387,5229,5483,4931,4490,4493,5213,5036,5126
233,132ND AVE NE,N OF NE 70TH ST,7309,6238,7700,6981,7802,7255,7903,7196,7574,8107,8507
234,132ND AVE NE,S OF NE 70TH ST,6606,6476,7848,7151,8066,6981,6835,6726,7563,7759,7586
235,132ND AVE NE,S OF NE 80TH ST,6222,6006,7304,6355,8137,6422,7045,7255,7101,7689,8167
236,132ND AVE NE,N OF NE 85TH ST,12415,10951,12639,12174,12021,12301,10440,11742,11513,11878,11097
237,132ND AVE NE,S OF NE 85TH ST,5958,5256,6638,5742,6376,5745,5917,6618,6869,7300,7166
238,132ND AVE NE,N OF NE 100TH ST,8867,7544,11055,9125,8782,7538,6838,8163,8789,8347,7958
239,132ND AVE NE,S OF NE 100TH ST,11284,9240,12901,11078,10311,8687,8891,9895,10763,10530,9861
240,132ND AVE NE,S OF NE 113TH ST.,7764,6758,9685,8545,8042,6323,6044,7045,7048,6845,7020
241,132ND AVE NE,N OF NE 132ND ST,10382,9688,13115,12121,12212,10599,11732,12541,12433,12450,11970
242,132ND AVE NE,S OF NE 132ND ST,15436,14766,17734,16182,15304,16517,12629,15126,14888,13620,13930
243,132ND AVE NE,N OF 143RD ST,1570,1458,1587,1660,1559,1601,1562,,,,
244,132ND AVE NE,S OF 143RD ST,7403,7148,10369,10120,10107,8481,8361,,,,
245,NE 132ND ST,E of JUANITA DRIVE,2628,2248,3012,2185,1894,1814,1934,,,,
246,NE 132ND ST,E of 84TH AVE NE,4472,4197,5447,4338,4039,3958,4132,,,,
247,NE 132ND ST,E of 108TH PL,16476,15411,19873,18478,18410,17851,18684,20641,18621,20690,19032
248,NE 132ND ST,W of 108TH PL,14854,12979,16099,15225,15354,14151,15387,17255,15458,16870,15836
249,NE 132ND ST,W OF TOTEM LAKE BLVD,27759,,18678,16708,17457,16865,16025,18289,18662,21549,22314
250,NE 132ND ST,E OF 100TH AVE NE,14127,13157,15638,14611,14985,13755,14987,14688,15692,13398,14767
251,NE 132ND ST,W OF 100TH AVE NE,10830,9376,11295,9798,9779,9290,10503,10689,12088,12473,11211
252,NE 132ND ST,W OF 116TH WAY NE,17326,15435,17633,18612,19545,17878,18358,19027,17868,17957,18145
253,NE 132ND ST,W OF 120TH AVE NE,13709,9981,12949,12908,12366,12406,11072,11951,11040,13166,14796
254,NE 132ND ST,E OF 124TH AVE NE,12959,12008,14169,13361,12953,12069,11495,14261,13580,14180,14460
255,NE 132ND ST,W OF 124TH AVE NE,13587,12263,14824,13403,14980,13592,13521,17331,14792,16520,16960
256,NE 132ND ST,E OF 132ND AVE NE,5216,4583,6050,,,,,5287,6103,6340,8660
257,NE 132ND ST,W OF 132ND AVE NE,11989,11021,13076,12133,11411,10322,9819,,11616,11760,10680
258,NE 134TH ST,E OF 90TH AVE NE,3255,2894,,,,,,,,,
259,NE 137TH ST,W OF 100TH AVE NE,4635,4050,4647,4338,,,,,,,
260,NE 138TH PLACE,W OF JUANITA DRIVE,1658,1553,1626,,,,,,,,
261,NE 141ST ST,E of JUANITA DRIVE,3911,3639,4598,5193,4392,4567,4341,,,,
262,NE 141ST ST,E OF 84TH AVE NE,3592,3238,4157,3993,3696,3802,3967,,,,
263,NE 143RD ST,E OF 132ND AVE NE,7256,6498,8852,8700,8693,7354,7003,,,,
264,NE 143RD ST,W OF 132ND AVE NE,4369,4471,5840,6704,5506,5405,5588,,,,
265,NE 143RD ST,E OF JUANITA DRIVE,1182,,1536,1609,,,,,,,
